,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
466,Milky Way / Hourglass Nebula / Osun,6.0 AU,14.7 Earth Years,1,"64,718 km",11.9 Earth Hours,,,,,,Olokun,,,,,,,
467,Milky Way / Aethon Cluster / Nura,2.0 AU,2.7 Earth Years,1.097,"6,739 km",25.4 Earth Hours,1.29 atm,16 °C ,1.03 g,1.141 Earth Masses,,Oma Ker,Turian,"259,200,000(Pop. estimate is pre-invasion)",Sarlik,1153 CE,,,
468,Milky Way / Voyager Cluster / Columbia,,5.2 Earth Years,,"3,718 km",56.3 Earth Hours,0.06 atm,-124 °C ,,,,Ontaheter,,,,,,,
469,Milky Way / Artemis Tau / Sparta,,39.1 Earth Years,,"72,492 km",17.7 Earth Hours,,,,,hundreds,Ontamalca,,,,,,,
470,Milky Way / Kepler Verge / Newton,1.1 AU,1.2 Earth Years,0.924,"6,443 km",39.1 Earth Hours,0.79 atm,58 °C ,0.82 g,0.831 Earth Masses,2,Ontarom,Human,,,,,,
471,Milky Way / Hourglass Nebula / Osun,0.5 AU,0.3 Earth Years,1.389,"34,653 km",13.7 Earth Hours,,,,,,Orunmila,,,,,,,
472,Milky Way / Eagle Nebula / Imir,0.6 AU,0.5 Earth Years,0.864,"2,622 km",33.4 Earth Hours,1.86 atm,229 °C ,0.1 g,0.017 Earth Masses,,Osalri,,,,,,,
473,Andromeda / Heleus Cluster / Meos,705.3 AU,"4,439.6 Earth Years",17.801,"3,783 km",,0.06 atm,-101 °C ,,,,Ossqyu,,,,,,,
474,Milky Way / The Phoenix Massing / Tassrah,0.6 AU,0.4 Earth Years,1.35,"10,560 km",46.0 Earth Hours,90.59 atm,"1,445 °C ",4.6 g,12.516 Earth Masses,,Pahhur,,,,,,,
475,Milky Way / Apien Crest / Trebia,1.15 AU,1.2 Earth Years,1.056,"8,990 km",28.3 Earth Hours,1.1 atm,31 °C ,1.14 g,2.248 Earth Masses,"Menae, Nanus",Palaven,Turian,6.1 billion,Cipritine,,"350,000(Pop. estimates are pre-invasion)",,
476,Milky Way / Nimbus Cluster / Kallini,0.8 AU,0.6 Earth Years,1.422,"5,126 km",55.5 Earth Hours,Trace,224 °C ,0.47 g,0.301 Earth Masses,,Pania,,,,,,,
477,Milky Way / Silean Nebula / Loropi,20.5 AU,64.2 Earth Years,2.09,"71,458 km",17.8 Earth Hours,,,,,,Paphos,,,,,,,
478,Milky Way / Gemini Sigma / Ming,604.72 AU,"1,930.3 Earth Years",59.349,"7,979 km",22.4 Earth Hours,1.58 atm,"1,117 °C ",2.0 g,3.107 Earth Masses,,Parag,,,,,,,
479,Milky Way / The Shrike Abyssal / Kyzil,1.7 AU,2.5 Earth Years,0.786,"2,283 km",49.1 Earth Hours,Trace,-85 °C ,0.32 g,0.041 Earth Masses,,Parasc,Vorcha,,,,,,
480,Milky Way / Gemini Sigma / Han,0.65 AU,0.5 Earth Years,1.099,"4,839 km",0.5 Earth Years,0.0 atm,414 °C ,0.5 g,0.286 Earth Masses,,Paravin,,,,,,,
481,Milky Way / Rosetta Nebula / Phi Clio,1.1 AU,1.2 Earth Years,0.924,"5,850 km",50.2 Earth Hours,4.71 atm,158 °C ,0.8 g,0.668 Earth Masses,,Parnassus,,,,,,,
482,Milky Way / Caleston Rift / Balor,11.2 AU,68.6 Earth Years,0.299,"11,921 km",28.2 Earth Hours,Trace,−236 °C ,6.6 g,22.885 Earth Masses,,Partholon,,,,,,,
483,Andromeda / Heleus Cluster / Saajor,238.2 AU,870.7 Earth Years,17.827,"8,248 km",,0.33 atm,825 °C ,,,,Pas-09,,,,,,,
484,Andromeda / Heleus Cluster / Inalaara,0.9 AU,0.9 Earth Years,0.9,"3,637 km",,0.89 atm,49 °C ,,,,Pas-10,,,,,,,
485,Andromeda / Heleus Cluster / Sabeng,3.4 AU,11.5 Earth Years,0.297,"5,101 km",,42.87 atm,-30 °C ,,,,Pas-13,,,,,,,
486,Andromeda / Heleus Cluster / Sabeng,15.7 AU,114.1 Earth Years,0.297,"5,751 km",,32.05 atm,-270 °C ,,,1,Pas-15,,,,,,,
487,Andromeda / Heleus Cluster / Valay,5.3 AU,9.5 Earth Years,1.65,"6,693 km",,0.03 atm,-32 °C ,,,,Pas-16,,,,,,,
488,Andromeda / Heleus Cluster / Shojaon,7.7 AU,12.1 Earth Years,3.118,"4,244 km",,0.00 atm,158 °C ,,,,Pas-21,,,,,,,
489,Andromeda / Heleus Cluster / Shojaon,11.3 AU,21.6 Earth Years,3.093,"3,176 km",,0.05 atm,88 °C ,,,,Pas-24,,,,,,,
490,Andromeda / Heleus Cluster / Layan,1.3 AU,1.6 Earth Years,0.858,"6,050 km",,102.39 atm,406 °C ,,,,Pas-29,,,,,,,
491,Andromeda / Heleus Cluster / Togessan,11.3 AU,38.2 Earth Years,0.989,"4,783 km",,0.00 atm,-176 °C ,,,,Pas-31,,,,,,,
492,Andromeda / Heleus Cluster / Layan,5.8 AU,15.7 Earth Years,0.792,"64,742 km",,1.06 atm,,,,2,Pas-32,,,,,,,
493,Andromeda / Heleus Cluster / Sabeng,0.8 AU,1.2 Earth Years,0.356,"25,062 km",,1.87 atm,,,,,Pas-33,,,,,,,
494,Andromeda / Heleus Cluster / Hefena,0.3 AU,0.2 Earth Years,0.675,"5,955 km",,0.02 atm,440 °C ,,,,Pas-39,,,,,,,
495,Andromeda / Heleus Cluster / Shojaon,25.6 AU,73.8 Earth Years,3.08,"8,070 km",,0.27 atm,51 °C ,,,,Pas-48,,,,,,,
496,Andromeda / Heleus Cluster / Bosavay,216.2 AU,752.6 Earth Years,17.842,"9,694 km",,0.12 atm,408 °C ,,,,Pas-51,,,,,,,
497,Andromeda / Heleus Cluster / Nol,11.0 AU,36.6 Earth Years,0.994,"43,338 km",,0.52 atm,,,,,Pas-55,,,,,,,
498,Andromeda / Heleus Cluster / Bosavay,35.1 AU,49.2 Earth Years,17.865,"10,738 km",,0.10 atm,"1,073 °C ",,,,Pas-60,,,,,,,
499,Andromeda / Heleus Cluster / Inalaara,6.2 AU,15.3 Earth Years,1.018,"11,940 km",,0.00 atm,-226 °C ,,,,Pas-61,,,,,,,
500,Andromeda / Heleus Cluster / Tafeno,7.7 AU,12.2 Earth Years,3.067,"8,877 km",,0.00 atm,89 °C ,,,,Pas-65,,,,,,,
501,Andromeda / Heleus Cluster / Vaalon,55.3 AU,97.2 Earth Years,17.9,"5,973 km",,0.00 atm,731 °C ,,,,Pas-70,,,,,,,
502,Andromeda / Heleus Cluster / Saajor,31.4 AU,41.6 Earth Years,17.89,"9,197 km",,0.22 atm,959 °C ,,,1,Pas-76,,,,,,,
503,Andromeda / Heleus Cluster / Saajor,38.2 AU,41.6 Earth Years,32.211,"6,727 km",,0.34 atm,425 °C ,,,,Pas-77,,,,,,,
504,Andromeda / Heleus Cluster / Vaalon,89.9 AU,201.7 Earth Years,17.859,"57,050 km",,1.59 atm,,,,,Pas-78,,,,,,,
505,Andromeda / Heleus Cluster / Inalaara,2.9 AU,5.1 Earth Years,0.938,"2,426 km",,0.01 atm,-86 °C ,,,,Pas-88,,,,,,,
506,Milky Way / Maroon Sea / Vostok,,110.2 Earth Years,,"16,622 km",18.6 Earth Hours,,,,,,Pataiton,,,,,,,
507,Milky Way / Voyager Cluster / Yangtze,,123.6 Earth Years,,"7,304 km",57.7 Earth Hours,0.42 atm,-118 °C ,0.99 g,1.289 Earth Masses,,Patajiri,,,,,,,
508,Milky Way / Armstrong Nebula / Tereshkova,,15.3 Earth Years,,"5,831 km",47.1 Earth Hours,90.47 atm,451 °C ,0.78 g,0.647 Earth Masses,,Patamalrus,,,,,,,
509,Milky Way / Argos Rho / Phoenix,0.5 AU,0.3 Earth Years,1.389,"7,082 km",0.3 Earth Years,0.00 atm,546 °C ,0.75 g,0.918 Earth Masses,,Patashi,,,,,,,
510,Milky Way / Gemini Sigma / Han,44.45 AU,297.4 Earth Years,0.993,"8,927 km",36.0 Earth Hours,0.06 atm,-174 °C ,2.8 g,5.445 Earth Masses,,Patatanlis,,,,,,,
511,Milky Way / Artemis Tau / Macedon,11.3 AU,69.8 Earth Years,0.296,"10,529 km",30.4 Earth Hours,22.4 atm,−130 °C ,1.6 g,4.328 Earth Masses,,Patavig,,,,,,,
512,Milky Way / Hades Nexus / Pamyat,4.2 AU,8.6 Earth Years,1.002,"6,351 km",18.9 Earth Hours,Trace,−118 °C ,1.0 g,0.984 Earth Masses,,Patsayev,,,,,,,
513,Milky Way / Sigurd's Cradle / Skepsis,4.3 AU,8.9 Earth Years,1.004,"4,738 km",60.7 Earth Hours,2.77 atm,-32 °C ,0.6 g,0.329 Earth Masses,66,Pauling,,,,,,,
514,Andromeda / Heleus Cluster / Pytheas,12.1 AU,47.2 Earth Years,0.795,"7,091 km",,7.01 atm,781 °C ,,,,Pele,,,,,,,
515,Andromeda / Heleus Cluster / Remav,129.3 AU,839.0 years,,"11,644 km",,3.26 atm,235 °C ,,,,Phaidra,,,,,,,
516,Milky Way / Artemis Tau / Knossos,,0.3 Earth Years,,"4,238 km",57.2 Earth Hours,0.27 atm,551 °C ,0.63 g,0.276 Earth Masses,,Phaistos,,,,,,,
517,Milky Way / Artemis Tau / Athens,,275.4 Earth Years,,"7,623 km",47.4 Earth Hours,0.04 atm,−176 °C ,0.9 g,1.276 Earth Masses,1,Pharos,,,,,,,
518,Milky Way / Silean Nebula / Nahuala,2.45 AU,4.3 Earth Years,0.795,"57,188 km",17.2 Earth Hours,,,,,4,Phoros,Asari,"43,700(Pop. estimate is pre-invasion)",,,,,
519,Andromeda / Heleus Cluster / Valay,1.3 AU,1.2 Earth Years,1.526,"6,046 km",,0.47 atm,18 °C ,,,,Phostaan,,,,,,,
520,Milky Way / Athena Nebula / Parnitha,1.75 AU,2.3 Earth Years,1.013,"5,984 km",35.5 Earth Hours,2.94 atm,61 °C ,0.9 g,0.786 Earth Masses,,Piares,Asari,,,,,,
521,Milky Way / Minos Wasteland / Fortis,1.8 AU,2.4 Earth Years,1.013,"5,430 km",26.5 Earth Hours,1.26 atm,21 °C ,0.7 g,0.504 Earth Masses,,Pietas,,,,,,,
522,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,
525,Milky Way / Hades Gamma / Antaeus,6.93 AU,20.4 Earth Years,0.8,"74,221 km",17.3 Earth Hours,,,,,,Ploba,,,,,,,
526,Milky Way / Local Cluster / Sol,39.5 AU,247.7 Earth Years,1.004,"1,151 km",9.4 Earth Hours,Trace,−229 °C ,0.06 g,0.002 Earth Masses,3,Pluto,Human,9300 (gateway stations),,,,,
527,Milky Way / Athena Nebula / Vernio,18.3 AU,60.2 Earth Years,1.691,"51,136 km",15.5 Earth Hours,,,,,26,Polissa,,,,,,,
528,Milky Way / Ismar Frontier / Aquila,8.0 AU,22.7 Earth Years,0.994,"37,052 km",16.5 Earth Hours,,,,,> 1,Pollino,,,,,,,
529,Milky Way / Aethon Cluster / Satu Arrd,2.1 AU,3.1 Earth Years,0.964,"5,738 km",35.8 Earth Hours,28.6 atm,262 °C ,0.78 g,0.627 Earth Masses,,Poloh Tem,,,,,,,
530,Milky Way / Armstrong Nebula / Hong,,0.5 Earth Years,,"9,616 km",47.0 Earth Hours,31.59 atm,492 °C ,1.2 g,2.707 Earth Masses,,Pomal,,,,,,,
531,Milky Way / Crescent Nebula / Tasale,2.08 AU,3.0 Earth Years,1,"5,489 km",36.2 Earth Hours,96.6 atm,539 °C ,0.78 g,0.573 Earth Masses,,Ponolus,,,,,,,
532,Milky Way / The Phoenix Massing / Typhon,5.8 AU,14.0 Earth Years,0.995,"69,740 km",14.4 Earth Hours,,,,,,Ponos,,,,,,,
533,Milky Way / Artemis Tau / Macedon,5.075 AU,21.0 Earth Years,0.296,"9,749 km",45.4 Earth Hours,1.4 atm,-197 °C ,1.5 g,3.479 Earth Masses,,Porolan,,,,,,,
534,Andromeda / Heleus Cluster / Faroang,0.4 AU,0.2 Earth Years,1.6,"10,426 km",,9.57 atm,908 °C ,,,,Posbaar,,,,,,,
535,Andromeda / Heleus Cluster / Vaotessa,3.9 AU,8.6 Earth Years,0.802,"10,649 km",,6.34 atm,-44 °C ,,,,Prachonyi,,,,,,,
536,Milky Way / Nubian Expanse / Dakka,1.3 AU,1.5 Earth Years,0.976,"5,137 km",29.6 Earth Hours,0.84 atm,54 °C ,0.87 g,0.56 Earth Masses,,Pragia,,,,,,,
537,Milky Way / Armstrong Nebula / Vamshi,,17.8 Earth Years,,"10,510 km",49.8 Earth Hours,1.0 atm,−131 °C ,1.1 g,2.965 Earth Masses,,Pregel,,,,,,,
538,Milky Way / Sentry Omega / Hoc,,108.7 Earth Years,,"2,075 km",24.9 Earth Hours,0.00 atm,-158 °C ,0.1 g,0.011 Earth Masses,,Prescyla,,,,,,,
539,Milky Way / Armstrong Nebula / Gagarin,,0.7 Earth Years,,"38,482 km",16.2 Earth Hours,,,,,> 1,Pressha,,,,,,,
540,Milky Way / Eagle Nebula / Relic,16.0 AU,64.2 Earth Years,0.994,"40,775 km",11.7 Earth Hours,,,,,,Preying Mouth,,,,,,,
541,Milky Way / Athena Nebula / Vernio,1.4 AU,1.3 Earth Years,1.624,"6,563 km",57.1 Earth Hours,19.19 atm,633 °C ,0.82 g,0.862 Earth Masses,,Promavess,,,,,,,
542,Milky Way / Athena Nebula / Tomaros,10 AU,31.8 Earth Years,0.989,"16,105 km",11.1 Earth Hours,,,,,>1,Pronoia,,,,,,,
543,Milky Way / Shadow Sea / Iera,1.2 AU,1.3 Earth Years,1.022,"45,277 km",18.1 Earth Hours,,,,,13,Prospect,,,,,,,
544,Milky Way / Artemis Tau / Athens,,4.9 Earth Years,,"10,210 km",51.4 Earth Hours,1.21 atm,34 °C ,1.3 g,3.307 Earth Masses,,Proteus,Human,"12,470",Ithaka,2179,,,
545,Milky Way / Styx Theta / Erebus,,2.9 Earth Years,,"5,160 km",38.7 Earth Hours,0.83 atm,-7 °C ,0.8 g,0.52 Earth Masses,,Quaji,,,,,,,
546,Milky Way / Attican Beta / Theseus,4.33 AU,9.0 Earth Years,1.002,"7,271 km",67.8 Earth Hours,0.91 atm,-141 °C ,1.2 g,1.548 Earth Masses,,Quana,,,,,,,
547,Milky Way / Hourglass Nebula / Faryar,0.2 AU,0.1 Earth Years,0.8,"3,137 km",53.1 Earth Hours,2.22 atm,558 °C ,3.5 g,0.84 Earth Masses,,Quarem,,,,,,,
548,Milky Way / Silean Nebula / Teyolia,2.48 AU,3.9 Earth Years,1.003,"68,541 km",17.9 Earth Hours,,,,,7,Quirezia,,,,,,,
549,Milky Way / Eagle Nebula / Imir,5.0 AU,11.2 Earth Years,0.996,"48,918 km",13.3 Earth Hours,,,,,,Quodis,,,,,,,
550,Andromeda / Heleus Cluster / Vaalon,69.8 AU,138.0 Earth Years,17.857,"5,091 km",,0.00 atm,"1,655 °C ",,,,Ra Madesya,,,,,,,
551,Andromeda / Heleus Cluster / Vaalon,75.2 AU,154.3 Earth Years,17.862,"11,212 km",,1.65 atm,"1,892 °C ",,,,Ra Moorondi,,,,,,,
552,Andromeda / Heleus Cluster / Nalesh,3.3 AU,4.6 Earth Years,1.698,"9,156 km",,2.25 atm,743 °C ,,,,Rahere,,,,,,,
553,Milky Way / Pylos Nebula / Satent,0.6 AU,0.5 Earth Years,0.864,"3,790 km",66.3 Earth Hours,Trace,56 °C ,0.24 g,0.084 Earth Masses,,Raisaris,,,,,,,
554,Andromeda / Heleus Cluster / Civki,3.2 AU,4.5 Earth Years,1.618,"4,731 km",,0.68 atm,42 °C ,,,,Rakaelmo,,,,,,,
555,,,,,,,,,,,,,,,,,,,
556,Milky Way / Kite's Nest / Indris,2.5 AU,4.4 Earth Years,0.807,"4,526 km",62.9 Earth Hours,Trace,−113 °C ,0.71 g,0.355 Earth Masses,,Ramlat,Batarian,,,,,,
557,Milky Way / Perseus Veil / Tikkun,0.72 AU,0.64 Earth Years,0.911,"6,021 km",32.3 Earth Hours,0.93 atm,48 °C ,0.89 g,0.787 Earth Masses,1,Rannoch,Quarian,Unknown. Quarian estimates on the number of geth range from the tens of millions to the single-digit billions. Estimates on the number of geth consciousnesses stored in servers are far higher.,,,,,
558,Milky Way / Armstrong Nebula / Gagarin,,,,"5,171 km",60.5 Earth Hours,0.84 atm,46 °C ,0.87 g,0.568 Earth Masses,1,Rayingri,,,,,,,
559,Milky Way / Hades Gamma / Dis,17.98 AU,85.5 Earth Years,0.795,"34,914 km",11.5 Earth Hours,,,,,>1,Raysha,,,,,,,
560,Andromeda / Heleus Cluster / Solminae,0.3 AU,0.3 Earth Years,0.3,"9,508 km",,15.40 atm,56 °C ,,,,Red Qorayk,,,,,,,
561,Milky Way / Voyager Cluster / Yangtze,,0.5 Earth Years,,"25,957 km",18.1 Earth Hours,,,,,,Renshato,,,,,,,
562,Milky Way / Pylos Nebula / Satent,0.02 AU,4.56 Earth Days,,"69,155 km",4.56 Earth Days,,,,,,Rescel,,,,,,,
563,Andromeda / Heleus Cluster / Pfeiffer,4.0 AU,6.1 Earth Years,1.72,"8,971 km",,0.87 atm,82 °C ,,,,Reyer,,,,,,,
564,Milky Way / Hawking Eta / Schwarzschild,6.34 AU,17.9 Earth Years,0.795,"70,778 km",15.4 Earth Hours,1.81 atm,,,,> 1,Rihali,,,,,,,
565,Milky Way / Aethon Cluster / Satu Arrd,3.0 AU,5.3 Earth Years,0.961,"5,082 km",23.2 Earth Hours,4.62 atm,28 °C ,0.37 g,0.233 Earth Masses,,Rilar,,,,,,,
566,Andromeda / Heleus Cluster / Saajor,198.2 AU,660.8 Earth Years,17.831,"11,471 km",,0.16 atm,-17 °C ,,,,Roha,,,,,,,
567,Andromeda / Heleus Cluster / Joba,2.3 AU,3.8 Earth Years,0.843,"6,077 km",,4.02 atm,7 °C ,,,,Ronhadin,,,,,,,
568,Milky Way / The Shrike Abyssal / Urla Rast,6.9 AU,18.2 Earth Years,0.992,"1,360 km",67.4 Earth Hours,Trace,−147 °C ,0.3 g,0.014 Earth Masses,,Rosh,,2250,Suu Piz,2175,,,
569,Milky Way / Pylos Nebula / Zaherin,6.1 AU,16.9 Earth Years,0.795,"19,174 km",10.8 Earth Hours,,,,,,Rotesk,,,,,,,
570,Milky Way / Krogan DMZ / Dranek,1.15 AU,2.3 Earth Years,0.288,"4,263 km",64.2 Earth Hours,0.14 atm,-153 °C ,,,,Rothla,,,,,,,
571,Milky Way / Eagle Nebula / Relic,7.8 AU,21.8 Earth Years,0.999,"2,125 km",67.7 Earth Hours,7.89 atm,1 °C ,0.1 g,0.011 Earth Masses,,Rough Tide,,,,,,,
572,Milky Way / Krogan DMZ / Aralakh,11.1 AU,28.4 Earth Years,1.696,"67,154 km",13.8 Earth Hours,,,,,,Ruam,,1040 (CDEM Garrison: 20),,,,,
573,Milky Way / The Shrike Abyssal / Kyzil,7.1 AU,21.2 Earth Years,0.796,"32,734 km",14.5 Earth Hours,,,,,,Rustaka,,,,,,,
574,Milky Way / Caleston Rift / Yakawa,0.6 AU,0.5 Earth Years,0.864,"11,672 km",35.8 Earth Hours,13.68 atm,374 °C ,3.5 g,11.635 Earth Masses,,Sakata,,,,,,,
575,Milky Way / Artemis Tau / Athens,,0.4 Earth Years,,"6,894 km",58.6 Earth Hours,1.40 atm,520 °C ,1.3 g,1.508 Earth Masses,,Salamis,,,,,,,
576,Milky Way / Ismar Frontier / Elysta,0.4 AU,0.3 Earth Years,0.711,"3,485 km",0.3 Earth Years,Trace,138 °C ,0.32 g,0.095 Earth Masses,,Saleas,,,,,,,
577,Milky Way / Sigurd's Cradle / Decoris,2.6 AU,4.2 Earth Years,0.996,"6,651 km",69.4 Earth Hours,0.4 atm,"−50 °C (mean), 4 °C (equator)",1.2 g,1.295 Earth Masses,,Sanctum,,"257,300",Vulpes,2169,,,
578,Milky Way / Silean Nebula / Phontes,8.1 AU,23.1 Earth Years,0.996,"75,335 km",9.7 Earth Hours,,,,,,Sangel,,,,,,,
579,Andromeda / Heleus Cluster / Onaon,0.9 AU,0.9 Earth Years,0.9,"6,584 km",,0.28 atm,11 °C ,,,,Sansesyol,,,,,,,
580,Milky Way / Athena Nebula / Ialessa,1.4 AU,1.6 Earth Years,1.072,"7,484 km",51.8 Earth Hours,0.96 atm,25 °C ,0.95 g,1.298 Earth Masses,,Sanves,Asari,975 million(Pop. estimate is pre-invasion),Etheai,544 BCE,,,
581,Milky Way / Annos Basin / Pranas,0.6 AU,0.5 Earth Years,0.864,"5,243 km",22.2 Earth Hours,8.45 atm,325 °C ,0.71 g,0.476 Earth Masses,,Saradril,,,,,,,
582,Milky Way / The Shrike Abyssal / Thal,0.85 AU,0.87 Earth Years,0.811,"10,413 km",65.0 Earth Hours,5.18 atm,94 °C ,1.82 g,4.815 Earth Masses,,Sarait,,,,,,,
583,Milky Way / The Phoenix Massing / Tassrah,1.7 AU,1.7 Earth Years,1.7,"6,016 km",60.8 Earth Hours,118.08 atm,"1,271 °C ",0.9 g,0.795 Earth Masses,,Sarapai,,,,,,,
584,,,,,,,,,,,,,,,,,,,
585,Milky Way / Local Cluster / Sol,9.5 AU,29.5 Earth Years,0.985,"60,268 km",10.3 Earth Hours,,,,95 Earth Masses,60,Saturn,Human,"117,000 (orbitals and Titan)",Huygens Dome,,,,
586,Milky Way / Krogan DMZ / Dranek,0.58 AU,0.8 Earth Years,0.305,"3,349 km",27.1 Earth Hours,0.19 atm,-99 °C ,0.18 g,0.049 Earth Masses,,Sazgoth,,,,,,,
587,Andromeda / Heleus Cluster / Anasa,0.9 AU,0.9 Earth Years,0.9,"4,838 km",,0.33 atm,14 °C ,,,,Sedele,,,,,,,
588,Milky Way / Omega Nebula / Kairavamori,0.7 AU,0.7 Earth Years,0.7,"5,810 km",47.8 Earth Hours,47.73 atm,470 °C ,0.8 g,0.659 Earth Masses,,Sehtor,,,,,,,
589,Milky Way / Eagle Nebula / Amun,0.4 AU,0.3 Earth Years,0.711,"38,347 km",9.0 Earth Hours,,,,,,Sekhmet,,,,,,,
590,Milky Way / Sigurd's Cradle / Mil,1.15 AU,1.24 Earth Years,0.989,"6,062 km",54.9 Earth Hours,Trace,32 °C ,0.94 g,0.843 Earth Masses,,Selvos,Asari,,,,,,
591,Andromeda / Heleus Cluster / Jirayder,0.6 AU,0.8 Earth Years,0.338,"8,059 km",,0.41 atm,-97 °C ,,,,Semrahet,,,,,,,
592,Milky Way / Hawking Eta / Verr,2.14 AU,5.7 Earth Years,0.302,"70,881 km",9.7 Earth Hours,,,,,> 80,Serao,,,,,,,
593,Milky Way / Kepler Verge / Newton,41.9 AU,272.2 Earth Years,0.993,"3,111 km",23.9 Earth Hours,0.00 atm,−188 °C ,0.09 g,0.021 Earth Masses,,Sesmose,,,,,,,
594,,,,,,,,,,,,,,,,,,,
595,Milky Way / Argos Rho / Gorgon,373.63 AU,"1,711.0 Earth Years",17.817,"43,342 km","1,711.0 Earth Years",,,,,,Sharblu,,,,,,,
596,Milky Way / Artemis Tau / Macedon,0.667 AU,1.0 Earth Year,0.297,"5,693 km",40.6 Earth Hours,39.16 atm,25 °C ,0.9 g,0.712 Earth Masses,,Sharjila,,,,,,,
597,Milky Way / Attican Beta / Theseus,12.93 AU,46.6 Earth Years,0.995,"55,721 km",14.6 Earth Hours,,,,,> 60,Sharring,,,,,,,
598,Milky Way / Nimbus Cluster / Mesana,5.7 AU,15.2 Earth Years,0.802,"57,700 km",12 Earth Hours,,,,,,Shastessia,,,,,,,
599,Milky Way / Caleston Rift / Aysur,1.4 AU,1.7 Earth Years,0.949,"1,454 km",37.4 Earth Hours,0.34 atm,23 °C ,0.1 g,0.005 Earth Masses,,Shasu,,,,,,,
600,Milky Way / Caleston Rift / Aysur,20.0 AU,89.7 Earth Years,0.994,"4,900 km",31.0 Earth Hours,Trace,−185 °C ,0.7 g,0.41 Earth Masses,,Shir,,,,,,,
601,Milky Way / Pylos Nebula / Dirada,12.9 AU,26 Earth Years,3.176,"4,925 km",26 Earth Years,Trace,79 °C ,0.47 g,0.278 Earth Masses,,Siano,,,,,,,
602,Milky Way / Petra Nebula / Vetus,2.3 AU,3.5 Earth Years,0.993,"7,645 km",31.6 Earth Hours,Trace,-62 °C ,0.947 g,1.351 Earth Masses,,Sidon,,,,,,,
603,Andromeda / Heleus Cluster / Meos,602.1 AU,"3,501.4 Earth Years",17.804,"31,783 km",,1.68 atm,,,,,Siktin,,,,,,,
604,Milky Way / Arcturus Stream / Euler,4.1 AU,6.8 Earth Years,1.491,"31,096 km",17.7 Earth Hours,,,,,1,Silva,,,,,,,
605,Milky Way / Pylos Nebula / Dirada,138.9 AU,919.2 Earth Years,3.172,"63,748 km",16.4 Earth Hours,,,,,> 80,Sineus,,,,,,,
606,Milky Way / Argos Rho / Gorgon,709.9 AU,"4,483.1 Earth Years",17.801,"77,115 km","4,483.1 Earth Years",,,,,,Slekon,,,,,,,
607,Andromeda / Heleus Cluster / Tecunis,61.2 AU,273.0 Earth Years,3.076,"4,394 km",,3.51 atm,288 °C ,,,,Slohva,,,,,,,
608,Milky Way / Eagle Nebula / Amun,0.8 AU,0.7 Earth Years,1.045,"72,530 km",12.4 Earth Hours,,,,,> 1,Sobek,,,,,,,
609,Milky Way / Armstrong Nebula / Gagarin,,1.8 Earth Years,,"4,327 km",63.9 Earth Hours,0.52 atm,−136 °C ,0.46 g,0.21 Earth Masses,,Sogelrus,,,,,,,
610,Andromeda / Heleus Cluster / Tafeno,128.3 AU,828.9 Earth Years,3.074,"7,126 km",,0.65 atm,-42 °C ,,,,Solad,,,,,,,
611,Milky Way / Armstrong Nebula / Tereshkova,,399.7 Earth Years,,"69,862 km",14.4 Earth Hours,,,,,,Solmarlon,,,,,,,
612,Milky Way / Aethon Cluster / Esori,6.6 AU,17.2 Earth Years,0.972,"28,567 km",14.7 Earth Hours,,,,,,Solu Paolis,,,,,,,
613,Milky Way / Voyager Cluster / Amazon,,6.2 Earth Years,,"9,647 km",44.7 Earth Hours,1.16 atm,-108 °C ,1.2 g,2.725 Earth Masses,,Sonedma,,,,,,,
614,Milky Way / Athena Nebula / Vernio,1.4 AU,1.2 Earth Years,1.906,"5,069 km",22.4 Earth Hours,1.62 atm,219 °C ,0.71 g,0.445 Earth Masses,,Sotera,,,,,,,
615,Milky Way / Kite's Nest / Harsa,21 AU,96.5 Earth Years,0.994,"7,594 km",49.9 Earth Hours,Trace,-194 °C ,1.18 g,1.66 Earth Masses,,Spekilas,,,,,,,
616,Milky Way / Nimbus Cluster / Pelion,1.6 AU,2.1 Earth Years,0.929,"9,289 km",68.3 Earth Hours,0.54 atm,34 °C ,0.71 g,1.495 Earth Masses,,Sthenia,,,,,,,
617,Milky Way / Ninmah Cluster / Maskim Xul,0.3 AU,0.3 Earth Years,0.3,"3,029 km",0.2 Earth Years,0.88 atm,40 °C ,0.71 g,0.159 Earth Masses,,Suen,Rachni,,,,,,
618,Andromeda / Heleus Cluster / Nalesh,8.3 AU,18.4 Earth Years,1.689,"66,369 km",,1.38 atm,,,,>1,Suiorna,,,,,,,
619,Milky Way / Maroon Sea / Matano,,275.5 Earth Years,,"4,317 km",63.4 Earth Hours,0.00 atm,−216 °C ,0.25 g,0.114 Earth Masses,,Supay,,,,,,,
620,Milky Way / Annos Basin / Pranas,1.1 AU,1.2 Earth Years,0.924,"6,709 km",21.5 Earth Hours,1.42 atm,25 °C ,0.94 g,1.032 Earth Masses,,Sur'Kesh,Salarian,10.3 billion,Talat,,1.1 million,,
